Title,"HE student enrolments by level of study, first year marker, mode of study, sex and country of HE provider",,,,,,
Doctorate research,All,Full-time,England,Male,2015/16,32655,5%
Doctorate research,All,Full-time,England,Other,2015/16,20,7%
Doctorate research,All,Full-time,England,All,2016/17,61740,4%
Doctorate research,All,Full-time,England,Female,2016/17,28645,3%
Doctorate research,All,Full-time,England,Male,2016/17,33070,5%
Doctorate research,All,Full-time,England,Other,2016/17,25,4%
Doctorate research,All,Full-time,England,All,2017/18,61940,4%
Doctorate research,All,Full-time,England,Female,2017/18,29000,3%
Doctorate research,All,Full-time,England,Male,2017/18,32870,5%
Doctorate research,All,Full-time,England,Other,2017/18,75,8%
Doctorate research,All,Full-time,England,All,2018/19,63210,4%
Doctorate research,All,Full-time,England,Female,2018/19,29780,3%
Doctorate research,All,Full-time,England,Male,2018/19,33290,5%
Doctorate research,All,Full-time,England,Other,2018/19,140,11%
Doctorate research,All,Full-time,England,All,2019/20,63230,4%
Doctorate research,All,Full-time,England,Female,2019/20,30220,3%
Doctorate research,All,Full-time,England,Male,2019/20,32790,4%
Doctorate research,All,Full-time,England,Other,2019/20,225,12%
Doctorate research,All,Full-time,Northern Ireland,All,2015/16,1655,4%
Doctorate research,All,Full-time,Northern Ireland,Female,2015/16,830,4%
Doctorate research,All,Full-time,Northern Ireland,Male,2015/16,825,5%
Doctorate research,All,Full-time,Northern Ireland,Other,2015/16,0,..
Doctorate research,All,Full-time,Northern Ireland,All,2016/17,1690,4%
Doctorate research,All,Full-time,Northern Ireland,Female,2016/17,835,4%
Doctorate research,All,Full-time,Northern Ireland,Male,2016/17,855,5%
Doctorate research,All,Full-time,Northern Ireland,Other,2016/17,0,..
Doctorate research,All,Full-time,Northern Ireland,All,2017/18,1785,5%
Doctorate research,All,Full-time,Northern Ireland,Female,2017/18,910,4%
Doctorate research,All,Full-time,Northern Ireland,Male,2017/18,875,5%
Doctorate research,All,Full-time,Northern Ireland,Other,2017/18,0,..
Doctorate research,All,Full-time,Northern Ireland,All,2018/19,1710,5%
Doctorate research,All,Full-time,Northern Ireland,Female,2018/19,885,4%
Doctorate research,All,Full-time,Northern Ireland,Male,2018/19,820,5%
Doctorate research,All,Full-time,Northern Ireland,Other,2018/19,0,..
Doctorate research,All,Full-time,Northern Ireland,All,2019/20,1825,5%
Doctorate research,All,Full-time,Northern Ireland,Female,2019/20,950,4%
Doctorate research,All,Full-time,Northern Ireland,Male,2019/20,875,5%
Doctorate research,All,Full-time,Northern Ireland,Other,2019/20,0,..
Doctorate research,All,Full-time,Scotland,All,2015/16,9620,5%
Doctorate research,All,Full-time,Scotland,Female,2015/16,4380,4%
Doctorate research,All,Full-time,Scotland,Male,2015/16,5235,7%
Doctorate research,All,Full-time,Scotland,Other,2015/16,5,8%
Doctorate research,All,Full-time,Scotland,All,2016/17,9645,5%
Doctorate research,All,Full-time,Scotland,Female,2016/17,4320,4%
Doctorate research,All,Full-time,Scotland,Male,2016/17,5310,7%
Doctorate research,All,Full-time,Scotland,Other,2016/17,15,13%
Doctorate research,All,Full-time,Scotland,All,2017/18,9790,5%
Doctorate research,All,Full-time,Scotland,Female,2017/18,4460,4%
Doctorate research,All,Full-time,Scotland,Male,2017/18,5310,7%
Doctorate research,All,Full-time,Scotland,Other,2017/18,20,13%
Doctorate research,All,Full-time,Scotland,All,2018/19,10060,5%
Doctorate research,All,Full-time,Scotland,Female,2018/19,4610,4%
Doctorate research,All,Full-time,Scotland,Male,2018/19,5420,7%
Doctorate research,All,Full-time,Scotland,Other,2018/19,30,11%
Doctorate research,All,Full-time,Scotland,All,2019/20,9910,5%
Doctorate research,All,Full-time,Scotland,Female,2019/20,4605,4%
Doctorate research,All,Full-time,Scotland,Male,2019/20,5255,6%
Doctorate research,All,Full-time,Scotland,Other,2019/20,45,12%
Doctorate research,All,Full-time,Wales,All,2015/16,2895,3%
Doctorate research,All,Full-time,Wales,Female,2015/16,1335,3%
Doctorate research,All,Full-time,Wales,Male,2015/16,1560,4%
Doctorate research,All,Full-time,Wales,Other,2015/16,0,0%
Doctorate research,All,Full-time,Wales,All,2016/17,2895,3%
Doctorate research,All,Full-time,Wales,Female,2016/17,1375,3%
Doctorate research,All,Full-time,Wales,Male,2016/17,1515,3%
Doctorate research,All,Full-time,Wales,Other,2016/17,5,5%
Doctorate research,All,Full-time,Wales,All,2017/18,2895,3%
Doctorate research,All,Full-time,Wales,Female,2017/18,1400,3%
Doctorate research,All,Full-time,Wales,Male,2017/18,1490,3%
Doctorate research,All,Full-time,Wales,Other,2017/18,5,6%
Doctorate research,All,Full-time,Wales,All,2018/19,3035,3%
Doctorate research,All,Full-time,Wales,Female,2018/19,1470,3%
Doctorate research,All,Full-time,Wales,Male,2018/19,1555,4%
Doctorate research,All,Full-time,Wales,Other,2018/19,10,7%
Doctorate research,All,Full-time,Wales,All,2019/20,3065,3%
Doctorate research,All,Full-time,Wales,Female,2019/20,1495,3%
Doctorate research,All,Full-time,Wales,Male,2019/20,1565,3%
Doctorate research,All,Full-time,Wales,Other,2019/20,5,4%
Doctorate research,All,Part-time,All,All,2015/16,24100,4%
Doctorate research,All,Part-time,All,Female,2015/16,12690,4%
Doctorate research,All,Part-time,All,Male,2015/16,11405,5%
Doctorate research,All,Part-time,All,Other,2015/16,5,7%
Doctorate research,All,Part-time,All,All,2016/17,24115,5%
Doctorate research,All,Part-time,All,Female,2016/17,12870,4%
Doctorate research,All,Part-time,All,Male,2016/17,11225,5%
Doctorate research,All,Part-time,All,Other,2016/17,25,8%
Doctorate research,All,Part-time,All,All,2017/18,24020,5%
Doctorate research,All,Part-time,All,Female,2017/18,12710,4%
Doctorate research,All,Part-time,All,Male,2017/18,11275,6%
Doctorate research,All,Part-time,All,Other,2017/18,40,7%
Doctorate research,All,Part-time,All,All,2018/19,24015,5%
Doctorate research,All,Part-time,All,Female,2018/19,12715,4%
Doctorate research,All,Part-time,All,Male,2018/19,11245,6%
Doctorate research,All,Part-time,All,Other,2018/19,55,6%
Doctorate research,All,Part-time,All,All,2019/20,23325,5%
Doctorate research,All,Part-time,All,Female,2019/20,12385,4%
Doctorate research,All,Part-time,All,Male,2019/20,10860,5%
Doctorate research,All,Part-time,All,Other,2019/20,80,6%
Doctorate research,All,Part-time,England,All,2015/16,20245,5%
Doctorate research,All,Part-time,England,Female,2015/16,10690,4%
Doctorate research,All,Part-time,England,Male,2015/16,9550,6%
Doctorate research,All,Part-time,England,Other,2015/16,5,8%
Doctorate research,All,Part-time,England,All,2016/17,20310,5%
Doctorate research,All,Part-time,England,Female,2016/17,10830,4%
Doctorate research,All,Part-time,England,Male,2016/17,9455,6%
Doctorate research,All,Part-time,England,Other,2016/17,25,11%
Doctorate research,All,Part-time,England,All,2017/18,20325,5%
Doctorate research,All,Part-time,England,Female,2017/18,10735,4%
Doctorate research,All,Part-time,England,Male,2017/18,9555,6%
Doctorate research,All,Part-time,England,Other,2017/18,35,10%
Doctorate research,All,Part-time,England,All,2018/19,20310,5%
Doctorate research,All,Part-time,England,Female,2018/19,10755,4%
Doctorate research,All,Part-time,England,Male,2018/19,9505,6%
Doctorate research,All,Part-time,England,Other,2018/19,55,12%
Doctorate research,All,Part-time,England,All,2019/20,19680,5%
Doctorate research,All,Part-time,England,Female,2019/20,10430,4%
Doctorate research,All,Part-time,England,Male,2019/20,9180,6%
Doctorate research,All,Part-time,England,Other,2019/20,75,8%
Doctorate research,All,Part-time,Northern Ireland,All,2015/16,560,3%
Doctorate research,All,Part-time,Northern Ireland,Female,2015/16,295,3%
Doctorate research,All,Part-time,Northern Ireland,Male,2015/16,270,4%
Doctorate research,All,Part-time,Northern Ireland,All,2016/17,525,3%
Doctorate research,All,Part-time,Northern Ireland,Female,2016/17,265,3%
Doctorate research,All,Part-time,Northern Ireland,Male,2016/17,260,4%
Doctorate research,All,Part-time,Northern Ireland,All,2017/18,505,3%
Doctorate research,All,Part-time,Northern Ireland,Female,2017/18,265,3%
Doctorate research,All,Part-time,Northern Ireland,Male,2017/18,235,4%
Doctorate research,All,Part-time,Northern Ireland,All,2018/19,520,3%
Doctorate research,All,Part-time,Northern Ireland,Female,2018/19,270,2%
Doctorate research,All,Part-time,Northern Ireland,Male,2018/19,250,4%
Doctorate research,All,Part-time,Northern Ireland,All,2019/20,465,2%
Doctorate research,All,Part-time,Northern Ireland,Female,2019/20,240,2%
Doctorate research,All,Part-time,Northern Ireland,Male,2019/20,225,3%
Doctorate research,All,Part-time,Scotland,All,2015/16,2320,4%
Doctorate research,All,Part-time,Scotland,Female,2015/16,1205,4%
Doctorate research,All,Part-time,Scotland,Male,2015/16,1115,5%
Doctorate research,All,Part-time,Scotland,Other,2015/16,0,..
Doctorate research,All,Part-time,Scotland,All,2016/17,2300,4%
Doctorate research,All,Part-time,Scotland,Female,2016/17,1235,3%
Doctorate research,All,Part-time,Scotland,Male,2016/17,1060,5%
Doctorate research,All,Part-time,Scotland,Other,2016/17,0,2%
Doctorate research,All,Part-time,Scotland,All,2017/18,2225,4%
Doctorate research,All,Part-time,Scotland,Female,2017/18,1180,3%
Doctorate research,All,Part-time,Scotland,Male,2017/18,1045,5%
Doctorate research,All,Part-time,Scotland,Other,2017/18,5,2%
Doctorate research,All,Part-time,Scotland,All,2018/19,2190,4%
Doctorate research,All,Part-time,Scotland,Female,2018/19,1150,3%
Doctorate research,All,Part-time,Scotland,Male,2018/19,1040,5%
Doctorate research,All,Part-time,Scotland,Other,2018/19,0,0%
Doctorate research,All,Part-time,Scotland,All,2019/20,2145,4%
Doctorate research,All,Part-time,Scotland,Female,2019/20,1160,3%
Doctorate research,All,Part-time,Scotland,Male,2019/20,980,4%
Doctorate research,All,Part-time,Scotland,Other,2019/20,5,1%
Doctorate research,All,Part-time,Wales,All,2015/16,975,3%
Doctorate research,All,Part-time,Wales,Female,2015/16,505,2%
Doctorate research,All,Part-time,Wales,Male,2015/16,470,3%
Doctorate research,All,Part-time,Wales,Other,2015/16,0,..
Doctorate research,All,Part-time,Wales,All,2016/17,985,3%
Doctorate research,All,Part-time,Wales,Female,2016/17,540,3%
Doctorate research,All,Part-time,Wales,Male,2016/17,445,3%
Doctorate research,All,Part-time,Wales,Other,2016/17,0,..
Doctorate research,All,Part-time,Wales,All,2017/18,965,3%
Doctorate research,All,Part-time,Wales,Female,2017/18,525,3%
Doctorate research,All,Part-time,Wales,Male,2017/18,440,3%
Doctorate research,All,Part-time,Wales,Other,2017/18,0,0%
Doctorate research,All,Part-time,Wales,All,2018/19,1000,3%
Doctorate research,All,Part-time,Wales,Female,2018/19,545,3%
Doctorate research,All,Part-time,Wales,Male,2018/19,450,3%
Doctorate research,All,Part-time,Wales,Other,2018/19,0,3%
Doctorate research,All,Part-time,Wales,All,2019/20,1035,3%
Doctorate research,All,Part-time,Wales,Female,2019/20,555,3%
Doctorate research,All,Part-time,Wales,Male,2019/20,475,3%
Doctorate research,All,Part-time,Wales,Other,2019/20,0,0%
Doctorate research,First year,All,All,All,2015/16,27410,3%
Doctorate research,First year,All,All,Female,2015/16,12935,2%
Doctorate research,First year,All,All,Male,2015/16,14460,3%
Doctorate research,First year,All,All,Other,2015/16,15,5%
Doctorate research,First year,All,All,All,2016/17,28100,3%
Doctorate research,First year,All,All,Female,2016/17,13335,2%
Doctorate research,First year,All,All,Male,2016/17,14735,3%
Doctorate research,First year,All,All,Other,2016/17,30,5%
Doctorate research,First year,All,All,All,2017/18,29055,3%
Doctorate research,First year,All,All,Female,2017/18,13895,2%
Doctorate research,First year,All,All,Male,2017/18,15080,3%
Doctorate research,First year,All,All,Other,2017/18,80,7%
Doctorate research,First year,All,All,All,2018/19,30640,3%
Doctorate research,First year,All,All,Female,2018/19,14710,2%
Doctorate research,First year,All,All,Male,2018/19,15840,4%
Doctorate research,First year,All,All,Other,2018/19,95,6%
Doctorate research,First year,All,All,All,2019/20,28220,2%
Doctorate research,First year,All,All,Female,2019/20,14010,2%
Doctorate research,First year,All,All,Male,2019/20,14075,3%
Doctorate research,First year,All,All,Other,2019/20,140,6%
Doctorate research,First year,All,England,All,2015/16,22150,3%
Doctorate research,First year,All,England,Female,2015/16,10495,2%
Doctorate research,First year,All,England,Male,2015/16,11640,3%
Doctorate research,First year,All,England,Other,2015/16,10,6%
Doctorate research,First year,All,England,All,2016/17,22840,3%
Doctorate research,First year,All,England,Female,2016/17,10820,2%
Doctorate research,First year,All,England,Male,2016/17,11995,3%
Doctorate research,First year,All,England,Other,2016/17,20,5%
Doctorate research,First year,All,England,All,2017/18,23625,3%
Doctorate research,First year,All,England,Female,2017/18,11265,2%
Doctorate research,First year,All,England,Male,2017/18,12290,3%
Doctorate research,First year,All,England,Other,2017/18,65,9%
Doctorate research,First year,All,England,All,2018/19,25000,3%
Doctorate research,First year,All,England,Female,2018/19,11995,2%
Doctorate research,First year,All,England,Male,2018/19,12925,3%
Doctorate research,First year,All,England,Other,2018/19,80,8%
Doctorate research,First year,All,England,All,2019/20,22865,2%
Doctorate research,First year,All,England,Female,2019/20,11365,2%
Doctorate research,First year,All,England,Male,2019/20,11395,3%
Doctorate research,First year,All,England,Other,2019/20,110,7%
Doctorate research,First year,All,Northern Ireland,All,2015/16,600,3%
Doctorate research,First year,All,Northern Ireland,Female,2015/16,300,2%
Doctorate research,First year,All,Northern Ireland,Male,2015/16,300,3%
Doctorate research,First year,All,Northern Ireland,All,2016/17,615,3%
Doctorate research,First year,All,Northern Ireland,Female,2016/17,305,2%
Doctorate research,First year,All,Northern Ireland,Male,2016/17,310,3%
Doctorate research,First year,All,Northern Ireland,All,2017/18,670,3%
Doctorate research,First year,All,Northern Ireland,Female,2017/18,350,2%
Doctorate research,First year,All,Northern Ireland,Male,2017/18,325,3%
Doctorate research,First year,All,Northern Ireland,All,2018/19,600,3%
Doctorate research,First year,All,Northern Ireland,Female,2018/19,310,2%
Doctorate research,First year,All,Northern Ireland,Male,2018/19,290,3%
Doctorate research,First year,All,Northern Ireland,All,2019/20,670,2%
Doctorate research,First year,All,Northern Ireland,Female,2019/20,350,2%
Doctorate research,First year,All,Northern Ireland,Male,2019/20,320,3%
Doctorate research,First year,All,Scotland,All,2015/16,3505,4%
Doctorate research,First year,All,Scotland,Female,2015/16,1585,3%
Doctorate research,First year,All,Scotland,Male,2015/16,1915,5%
Doctorate research,First year,All,Scotland,Other,2015/16,0,4%
Doctorate research,First year,All,Scotland,All,2016/17,3430,3%
Doctorate research,First year,All,Scotland,Female,2016/17,1585,3%
Doctorate research,First year,All,Scotland,Male,2016/17,1835,5%
Doctorate research,First year,All,Scotland,Other,2016/17,10,6%
Doctorate research,First year,All,Scotland,All,2017/18,3565,3%
Doctorate research,First year,All,Scotland,Female,2017/18,1705,3%
Doctorate research,First year,All,Scotland,Male,2017/18,1855,4%
Doctorate research,First year,All,Scotland,Other,2017/18,10,4%
Doctorate research,First year,All,Scotland,All,2018/19,3715,3%
Doctorate research,First year,All,Scotland,Female,2018/19,1735,3%
Doctorate research,First year,All,Scotland,Male,2018/19,1970,5%
Doctorate research,First year,All,Scotland,Other,2018/19,15,3%
Doctorate research,First year,All,Scotland,All,2019/20,3515,3%
Doctorate research,First year,All,Scotland,Female,2019/20,1710,3%
Doctorate research,First year,All,Scotland,Male,2019/20,1780,4%
Doctorate research,First year,All,Scotland,Other,2019/20,30,5%
Doctorate research,First year,All,Wales,All,2015/16,1160,2%
Doctorate research,First year,All,Wales,Female,2015/16,555,2%
Doctorate research,First year,All,Wales,Male,2015/16,605,2%
Doctorate research,First year,All,Wales,Other,2015/16,0,0%
Doctorate research,First year,All,Wales,All,2016/17,1220,2%
Doctorate research,First year,All,Wales,Female,2016/17,620,2%
Doctorate research,First year,All,Wales,Male,2016/17,595,2%
Doctorate research,First year,All,Wales,Other,2016/17,5,6%
Doctorate research,First year,All,Wales,All,2017/18,1195,2%
Doctorate research,First year,All,Wales,Female,2017/18,580,2%
Doctorate research,First year,All,Wales,Male,2017/18,610,2%
Doctorate research,First year,All,Wales,Other,2017/18,0,4%
Doctorate research,First year,All,Wales,All,2018/19,1320,2%
Doctorate research,First year,All,Wales,Female,2018/19,665,2%
Doctorate research,First year,All,Wales,Male,2018/19,655,2%
Doctorate research,First year,All,Wales,Other,2018/19,0,2%
Doctorate research,First year,All,Wales,All,2019/20,1165,2%
Doctorate research,First year,All,Wales,Female,2019/20,590,2%
Doctorate research,First year,All,Wales,Male,2019/20,580,2%
Doctorate research,First year,All,Wales,Other,2019/20,0,1%
Doctorate research,First year,Full-time,All,All,2015/16,22795,3%
Doctorate research,First year,Full-time,All,Female,2015/16,10520,2%
Doctorate research,First year,Full-time,All,Male,2015/16,12265,4%
Doctorate research,First year,Full-time,All,Other,2015/16,10,4%
Doctorate research,First year,Full-time,All,All,2016/17,23430,3%
Doctorate research,First year,Full-time,All,Female,2016/17,10910,2%
Doctorate research,First year,Full-time,All,Male,2016/17,12505,4%
Doctorate research,First year,Full-time,All,Other,2016/17,20,5%
Doctorate research,First year,Full-time,All,All,2017/18,24570,3%
Doctorate research,First year,Full-time,All,Female,2017/18,11595,3%
Doctorate research,First year,Full-time,All,Male,2017/18,12910,4%
Doctorate research,First year,Full-time,All,Other,2017/18,65,10%
Doctorate research,First year,Full-time,All,All,2018/19,25730,3%
Doctorate research,First year,Full-time,All,Female,2018/19,12175,3%
Doctorate research,First year,Full-time,All,Male,2018/19,13485,4%
Doctorate research,First year,Full-time,All,Other,2018/19,75,9%
Doctorate research,First year,Full-time,All,All,2019/20,23685,3%
Doctorate research,First year,Full-time,All,Female,2019/20,11610,2%
Doctorate research,First year,Full-time,All,Male,2019/20,11960,3%
Doctorate research,First year,Full-time,All,Other,2019/20,115,10%
Doctorate research,First year,Full-time,England,All,2015/16,18315,3%
Doctorate research,First year,Full-time,England,Female,2015/16,8485,2%
Doctorate research,First year,Full-time,England,Male,2015/16,9820,3%
Doctorate research,First year,Full-time,England,Other,2015/16,5,4%
Doctorate research,First year,Full-time,England,All,2016/17,18920,3%
Doctorate research,First year,Full-time,England,Female,2016/17,8800,2%
Doctorate research,First year,Full-time,England,Male,2016/17,10110,3%
Doctorate research,First year,Full-time,England,Other,2016/17,10,3%
Doctorate research,First year,Full-time,England,All,2017/18,19815,3%
Doctorate research,First year,Full-time,England,Female,2017/18,9310,2%
Doctorate research,First year,Full-time,England,Male,2017/18,10445,3%
Doctorate research,First year,Full-time,England,Other,2017/18,55,10%
Doctorate research,First year,Full-time,England,All,2018/19,20835,3%
Doctorate research,First year,Full-time,England,Female,2018/19,9860,2%
Doctorate research,First year,Full-time,England,Male,2018/19,10915,4%
Doctorate research,First year,Full-time,England,Other,2018/19,60,9%
Doctorate research,First year,Full-time,England,All,2019/20,19055,3%
Doctorate research,First year,Full-time,England,Female,2019/20,9330,2%
Doctorate research,First year,Full-time,England,Male,2019/20,9635,3%
Doctorate research,First year,Full-time,England,Other,2019/20,90,10%
Doctorate research,First year,Full-time,Northern Ireland,All,2015/16,495,4%
Doctorate research,First year,Full-time,Northern Ireland,Female,2015/16,240,3%
Doctorate research,First year,Full-time,Northern Ireland,Male,2015/16,255,5%
Doctorate research,First year,Full-time,Northern Ireland,All,2016/17,540,4%
Doctorate research,First year,Full-time,Northern Ireland,Female,2016/17,270,4%
Doctorate research,First year,Full-time,Northern Ireland,Male,2016/17,275,4%
Doctorate research,First year,Full-time,Northern Ireland,All,2017/18,600,4%
Doctorate research,First year,Full-time,Northern Ireland,Female,2017/18,315,4%
Doctorate research,First year,Full-time,Northern Ireland,Male,2017/18,290,5%
Doctorate research,First year,Full-time,Northern Ireland,All,2018/19,525,4%
Doctorate research,First year,Full-time,Northern Ireland,Female,2018/19,275,3%
Doctorate research,First year,Full-time,Northern Ireland,Male,2018/19,250,4%
Doctorate research,First year,Full-time,Northern Ireland,All,2019/20,605,4%
Doctorate research,First year,Full-time,Northern Ireland,Female,2019/20,320,4%
